Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[54, 70, 143, 149, 151, 155, 189, 223, 225, 248, 300, 309, 425, 445, 452, 469, 486, 492, 541, 680]",4.8343,GA with SVR,20,0.2647,0.2902,0.2245,1.5318,1.2098,0.507
"[115, 154, 163, 169, 362, 380, 421, 442, 457, 470]",2.7631,GA with SVR,10,0.2851,0.1691,0.1227,1.6293,1.3454,0.3803
"[75, 120, 125, 148, 202, 352, 358, 382, 396, 415, 454, 573, 906]",3.3547,GA with SVR,13,0.3049,0.2314,0.222,1.5343,1.1924,0.493
"[226, 356, 465, 477, 491, 547, 563, 648, 691, 692]",2.6805,GA with SVR,10,0.3666,0.2402,0.1844,1.5709,1.1106,0.6197
"[30, 91, 130, 164, 182, 312, 358, 681]",2.4058,GA with SVR,8,0.2114,0.132,0.1888,1.5667,1.2582,0.4789
"[51, 58, 216, 285, 307, 541, 542, 678]",2.5519,GA with SVR,8,0.0474,-0.0072,0.0375,1.7065,1.4268,0.4085
"[85, 108, 120, 312, 454, 461, 508]",2.2595,GA with SVR,7,0.1012,0.1494,0.1453,1.6081,1.344,0.4507
"[74, 118, 132, 243, 283, 389, 427, 516, 541, 544, 568, 868, 939]",3.5012,GA with SVR,13,0.1816,0.0553,0.0771,1.671,1.2425,0.5634
"[32, 119, 142, 173, 222, 229, 400, 497, 507]",2.7213,GA with SVR,9,0.072,0.0727,0.0779,1.6703,1.4108,0.4225
"[15, 109, 111, 230, 269, 328, 360, 384, 418, 429, 463, 839]",3.3178,GA with SVR,12,0.1376,0.0555,0.1458,1.6077,1.2719,0.507
"[17, 36, 61, 71, 88, 145, 228, 288, 359, 372, 437, 533, 563]",3.3778,GA with SVR,13,0.2198,0.3214,0.1882,1.5673,1.1997,0.4366
"[240, 373, 495]",1.4844,GA with SVR,3,0.2271,0.3349,0.1152,1.6362,1.2299,0.507
"[4, 20, 71, 105, 121, 163, 180, 181, 271, 291, 304, 309, 316, 410, 490, 871]",4.2079,GA with SVR,16,0.0452,0.0878,0.0822,1.6664,1.3643,0.4085
"[52, 96, 112, 254, 352, 398, 419, 491, 511, 516, 522, 570, 937, 940]",3.6868,GA with SVR,14,0.1842,0.1204,0.1692,1.5855,1.3359,0.4085
"[57, 137, 141, 222, 285, 328, 387, 420, 434, 455, 504, 541, 552, 564]",3.6273,GA with SVR,14,0.2102,0.2349,0.3073,1.4477,1.1531,0.4648
"[41, 127, 133, 159, 186, 198, 225, 318, 376, 400, 446, 472, 477, 513]",3.5096,GA with SVR,14,0.3245,0.3341,0.2252,1.5311,1.2416,0.4507
"[5, 126, 151, 165, 218, 237, 243, 283, 320, 371, 452, 864]",3.0519,GA with SVR,12,0.4099,0.2791,0.35,1.4024,1.0752,0.5775
"[56, 64, 80, 81, 91, 132, 210, 283, 295, 344, 353, 440, 458, 906]",3.6357,GA with SVR,14,0.2197,0.1961,0.1709,1.5838,1.31,0.4789
