Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[70, 118, 123, 151, 320, 374, 393, 399, 407, 435, 485, 631]",2.9346,GA with SVR,12,0.5003,0.3928,0.3528,1.3994,1.1222,0.5493
"[1, 41, 48, 89, 106, 109, 161, 179, 276, 369, 419, 470, 475, 499, 568, 631, 700, 872]",4.1389,GA with SVR,18,0.5002,0.4965,0.5391,1.1809,0.9459,0.6197
"[3, 41, 205, 276, 279, 297, 317, 378, 424, 425, 432, 470, 530, 872]",3.267,GA with SVR,14,0.5001,0.573,0.5429,1.1761,0.9208,0.6479
"[45, 68, 154, 158, 168, 255, 276, 280, 301, 314, 326, 432, 433, 557, 695, 929]",3.6993,GA with SVR,16,0.4992,0.542,0.4449,1.296,1.0019,0.6197
"[38, 126, 142, 149, 172, 391, 393, 435, 439, 447, 449, 480, 483, 564]",3.3374,GA with SVR,14,0.4991,0.4263,0.451,1.2889,0.998,0.5915
"[38, 284, 301, 362, 387, 432, 486, 495, 503, 507, 524, 555, 565, 681, 692, 826, 867, 872, 930]",4.3691,GA with SVR,19,0.499,0.457,0.4589,1.2795,0.9888,0.6056
"[44, 77, 128, 159, 172, 197, 296, 376, 394, 413, 432, 467, 482, 495, 631, 676, 700, 864, 906]",4.3856,GA with SVR,19,0.499,0.4234,0.4595,1.2789,1.0081,0.5915
"[3, 78, 88, 115, 142, 195, 255, 348, 354, 361, 390, 391, 506, 531, 649, 650, 700, 702]",4.1555,GA with SVR,18,0.4989,0.4651,0.4403,1.3013,1.0263,0.5775
"[71, 164, 243, 320, 346, 347, 378, 410, 434, 467, 508, 521, 559, 694]",3.3222,GA with SVR,14,0.4989,0.4595,0.5158,1.2104,0.9757,0.5634
"[16, 71, 82, 121, 122, 187, 217, 249, 380, 385, 408, 410, 436, 438]",3.3442,GA with SVR,14,0.4989,0.4117,0.4342,1.3084,1.0665,0.5634
"[80, 174, 213, 232, 300, 315, 320, 390, 412, 428, 447, 533, 535, 650]",3.359,GA with SVR,14,0.4987,0.3799,0.3914,1.357,1.0394,0.5775
"[1, 35, 112, 216, 294, 318, 336, 396, 417, 432, 526, 543, 566, 839, 864, 867, 939]",3.968,GA with SVR,17,0.4987,0.4198,0.4481,1.2923,1.0195,0.5211
"[4, 55, 79, 213, 276, 331, 410, 479, 485, 523, 864, 872]",2.8661,GA with SVR,12,0.4985,0.5453,0.572,1.138,0.88,0.6901
"[17, 20, 118, 143, 173, 176, 179, 183, 229, 230, 284, 299, 307, 318, 334, 380, 386, 389, 435, 471, 696]",4.7936,GA with SVR,21,0.4984,0.4499,0.4272,1.3165,1.0307,0.5211
"[48, 50, 65, 71, 79, 85, 104, 180, 197, 223, 226, 249, 298, 306, 317, 320, 324, 359, 391, 447, 452, 460, 468, 534, 569]",5.6055,GA with SVR,25,0.4975,0.5136,0.4741,1.2614,1.0058,0.5634
"[47, 83, 232, 318, 404, 434, 435, 456, 468, 489, 511, 551, 631, 680, 681, 691, 819]",3.9598,GA with SVR,17,0.4973,0.4392,0.419,1.3259,1.0346,0.5915
"[2, 5, 109, 146, 208, 226, 294, 320, 336, 343, 355, 435, 437, 459, 461, 491, 648, 650, 826]",4.3842,GA with SVR,19,0.4969,0.4298,0.3894,1.3592,1.0868,0.5211
"[55, 112, 150, 189, 246, 255, 318, 464, 519, 700, 867]",2.7066,GA with SVR,11,0.4967,0.4437,0.4572,1.2816,1.0137,0.6197
"[75, 94, 103, 111, 229, 280, 312, 318, 505, 568, 677, 696, 907]",3.0767,GA with SVR,13,0.4966,0.5426,0.4558,1.2832,1.0034,0.5352
"[134, 145, 320, 348, 359, 391, 436, 437, 479, 562]",2.4914,GA with SVR,10,0.4966,0.4606,0.3878,1.361,1.0848,0.507
"[16, 178, 220, 255, 267, 276, 278, 323, 386, 403, 404, 418, 439, 490, 528, 535, 545, 694, 698]",4.374,GA with SVR,19,0.4965,0.4512,0.5001,1.2299,0.9875,0.6197
"[63, 109, 155, 222, 225, 240, 288, 291, 309, 311, 324, 348, 390, 444, 447, 448, 502, 504, 511, 928]",4.5841,GA with SVR,20,0.4965,0.4513,0.4102,1.3359,1.0347,0.5352
"[295, 327, 380, 390, 394, 429, 446, 448, 457, 471, 495, 498, 513, 535, 650, 907]",3.7389,GA with SVR,16,0.4965,0.4651,0.3905,1.358,1.1198,0.4507
"[36, 57, 76, 136, 151, 255, 354, 380, 402, 413, 528, 696, 700]",3.1134,GA with SVR,13,0.4964,0.4646,0.4157,1.3296,1.0749,0.507
"[20, 47, 110, 151, 182, 226, 255, 286, 310, 313, 320, 359, 383, 432, 651, 691, 869, 928]",4.1704,GA with SVR,18,0.4963,0.4389,0.3503,1.4021,1.1032,0.5211
"[82, 104, 110, 157, 183, 206, 318, 350, 360, 435, 447, 462, 515, 518, 572, 631, 695]",3.9578,GA with SVR,17,0.4961,0.4455,0.386,1.363,1.0741,0.5915
"[2, 60, 64, 143, 233, 237, 276, 288, 371, 434, 454, 568, 677, 872]",3.2863,GA with SVR,14,0.4958,0.5405,0.5664,1.1453,0.9112,0.6338
"[94, 170, 213, 276, 318, 446, 459, 479, 503, 510, 523, 540, 692, 872]",3.2731,GA with SVR,14,0.4957,0.5681,0.5535,1.1623,0.9215,0.6197
"[82, 108, 115, 216, 229, 232, 282, 320, 329, 481, 552, 676, 677, 695, 700, 864, 868]",3.9822,GA with SVR,17,0.4954,0.3955,0.5059,1.2226,0.9473,0.6479
"[56, 98, 118, 144, 224, 253, 304, 322, 341, 431, 450, 459, 479, 493, 514, 527, 544, 545, 700, 864, 872]",4.8622,GA with SVR,21,0.4953,0.3161,0.4603,1.2779,1.0059,0.6197
"[108, 235, 255, 276, 286, 312, 331, 340, 386, 389, 398, 459, 486, 532, 865, 872]",3.7181,GA with SVR,16,0.4953,0.5104,0.5377,1.1826,0.9304,0.6056
"[68, 76, 148, 212, 219, 228, 236, 276, 289, 316, 483, 501, 505, 556, 693, 872]",3.6943,GA with SVR,16,0.4951,0.5593,0.5462,1.1718,0.9389,0.6338
"[66, 199, 284, 304, 318, 360, 378, 446, 517, 554, 679, 692, 696, 864]",3.346,GA with SVR,14,0.495,0.4145,0.4507,1.2892,0.9967,0.6338
"[1, 41, 72, 89, 175, 206, 276, 316, 370, 426, 490, 510, 532, 631, 703, 864, 872]",3.9169,GA with SVR,17,0.4949,0.5314,0.5599,1.1539,0.8954,0.6901
"[55, 99, 109, 223, 240, 276, 317, 345, 348, 354, 379, 431, 519, 540, 559, 567, 692, 872]",4.1088,GA with SVR,18,0.4949,0.5654,0.5422,1.1769,0.9326,0.6197
"[2, 51, 92, 100, 145, 162, 227, 237, 320, 348, 378, 401, 405, 441, 446, 457, 458, 472, 487, 520, 521, 555]",5.0632,GA with SVR,22,0.4949,0.3385,0.3198,1.4346,1.1231,0.5493
"[15, 53, 112, 119, 122, 195, 222, 253, 276, 310, 554, 677, 702, 868, 872, 907]",3.7123,GA with SVR,16,0.4948,0.5232,0.535,1.1861,0.95,0.6761
"[49, 237, 320, 449, 455, 464, 480, 497, 544, 569, 676, 692]",2.922,GA with SVR,12,0.4948,0.4308,0.3257,1.4283,1.1193,0.5634
"[1, 151, 152, 180, 195, 212, 307, 317, 320, 330, 347, 396, 561, 569]",3.3248,GA with SVR,14,0.4947,0.4612,0.4432,1.298,1.0366,0.5634
"[92, 132, 159, 171, 197, 216, 237, 334, 380, 396, 440, 481, 497, 522, 534, 564, 703, 906]",4.1849,GA with SVR,18,0.4943,0.412,0.4111,1.3349,1.044,0.5352
"[62, 121, 245, 252, 255, 461, 477, 480, 485, 570, 631, 650, 700, 867]",3.3189,GA with SVR,14,0.4942,0.4746,0.4332,1.3096,1.0274,0.5915
"[125, 239, 255, 293, 310, 320, 336, 346, 376, 377, 422, 428, 432, 508, 548, 549, 826]",3.9362,GA with SVR,17,0.4942,0.4933,0.3575,1.3943,1.102,0.5211
"[40, 159, 165, 290, 306, 308, 318, 379, 434, 459, 531, 540, 543, 677, 872]",3.531,GA with SVR,15,0.4941,0.4673,0.5097,1.2179,0.9666,0.5634
"[83, 102, 134, 146, 244, 255, 314, 386, 403, 415, 423, 696, 700]",3.1174,GA with SVR,13,0.4941,0.46,0.4101,1.336,1.0805,0.5211
